"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试各级别日志输出","0","test_log_levels","testcase.smoke","2026-06-16","passed","2026-06-16","","test_logger","",""
"异常场景 —— 6 大类异常统一覆盖","1006","验证请求超时","testcase.single_api","2026-06-16","passed","2026-06-16","TestExceptionCases","test_exception_cases","",""
"异常场景 —— 6 大类异常统一覆盖","25","新增用户缺少token","testcase.single_api","2026-06-16","passed","2026-06-16","TestExceptionCases","test_exception_cases","",""
"新增用户 —— 正向 + 反向共 4 个用例，数据全在 YAML 里","26","无效新增-缺少role_id","testcase.single_api","2026-06-16","passed","2026-06-16","TestUserManager","test_user_crud","",""
"异常场景 —— 6 大类异常统一覆盖","5","验证500状态码和错误信息","testcase.single_api","2026-06-16","passed","2026-06-16","TestExceptionCases","test_exception_cases","",""
"新增用户 —— 正向 + 反向共 4 个用例，数据全在 YAML 里","46","正常新增用户","testcase.single_api","2026-06-16","passed","2026-06-16","TestUserManager","test_user_crud","",""
"","27","test_get_index","testcase.smoke","2026-06-16","passed","2026-06-16","","test_send_request","",""
"异常场景 —— 6 大类异常统一覆盖","4","库存不足返回status=1","testcase.single_api","2026-06-16","passed","2026-06-16","TestExceptionCases","test_exception_cases","",""
"确认日志同时输出到控制台和文件","1","test_both_outputs","testcase.smoke","2026-06-16","passed","2026-06-16","","test_logger","",""
"验证 POST 登录请求，账号密码从 config.ini 读取","26","test_post_login","testcase.smoke","2026-06-16","passed","2026-06-16","","test_send_request","",""
"新增用户 —— 正向 + 反向共 4 个用例，数据全在 YAML 里","5","无效新增-缺少token","testcase.single_api","2026-06-16","passed","2026-06-16","TestUserManager","test_user_crud","",""
"验证配置读取正确","0","test_base_url_from_config","testcase.smoke","2026-06-16","passed","2026-06-16","","test_send_request","",""
"异常场景 —— 6 大类异常统一覆盖","24","验证空响应体返回200","testcase.single_api","2026-06-16","passed","2026-06-16","TestExceptionCases","test_exception_cases","",""
"
        新增用户并验证数据落库。

        断言流程：
        1. contains 断言：接口返回""新增成功""
        2. db 断言：查 MySQL 确认 test_db_user 记录存在
        ","89","正常新增-接口+数据库双重验证","testcase.single_api","2026-06-16","passed","2026-06-16","TestUserWithDB","test_user_db","",""
"异常场景 —— 6 大类异常统一覆盖","17","查询不存在的商品","testcase.single_api","2026-06-16","passed","2026-06-16","TestExceptionCases","test_exception_cases","",""
"
        登录并验证 token 写入 Redis 缓存。

        断言流程：
        1. contains 断言：接口返回""登录成功""
        2. redis 断言：Redis 中 token:test01 键存在
        ","32","登录成功-接口+Redis缓存双重验证","testcase.single_api","2026-06-16","passed","2026-06-16","TestLoginWithRedis","test_login_redis","",""
"新增用户 —— 正向 + 反向共 4 个用例，数据全在 YAML 里","20","无效新增-缺少username","testcase.single_api","2026-06-16","passed","2026-06-16","TestUserManager","test_user_crud","",""
